Program,site_id,Site Name,Site ID OPSEL,Opsel,Penyedia MSS,Paket Penyedia MSS,Provinsi,Kabupaten,Kecamatan,Desa,latitude,longitude,radius_km,Transmisi,BW,K2-K3 Kategori,Availability,Accessibility,Retainability,Traffic Total,User,Problem Availability,Sub Problem Category
BTS USO,UXS010,MIANGAS,1901B710400831,TELKOMSEL,PT. Bintang Komunikasi Utama,,SULAWESI UTARA,KEPULAUAN TALAUD,MIANGAS,MIANGAS,5.55416,126.58116,3,,8,,,,,,,,
BTS USO,UYP104,HAIMARAN,1919B920400067,TELKOMSEL,PT. Aprillia Profesional Teknologi,,PAPUA BARAT DAYA,SORONG SELATAN,KAIS DARAT,HAIMARAN,-1.57616,132.35217,3,,8,,,,,,,,
BTS USO,19SDW016,TIONG OHANG,1904B641100594,INDOSAT,PT. Pola Penawar Bangun Semesta,,KALIMANTAN TIMUR,MAHAKAM ULU,LONG APARI,TIONG OHANG,0.76484,114.2762,3,,8,,,,,,,,
BTS USO,UQH860,LUBUK ULANG ALING SELATAN,1903B131100559,TELKOMSEL,PT. Berca Hardayaperkasa,,SUMATERA BARAT,SOLOK SELATAN,SANGIR BATANG HARI,LUBUK ULANG ALING SELATAN,-1.209484,101.34948,3,,8,,,,,,,,
BTS USO,32SML018,KARATAT,1904B810300123,INDOSAT,PT. Dayamitra Telekomunikasi,,MALUKU,KEPULAUAN TANIMBAR,WUAR LABOBAR,KARATAT,-7.2851,131.4485,3,,8,,,,,,,,
BTS USO,19NNK014,BEBANAS,1903B650300518,INDOSAT,PT. Berca Hardayaperkasa,,KALIMANTAN UTARA,NUNUKAN,SEBUKU,BEBANAS,3.9542,116.8723,3,,8,,,,,,,,
BTS USO,16PTS054,KAMPUNG BARU,1919B610600708,INDOSAT,PT. Bintang Komunikasi Utama,,KALIMANTAN BARAT,KAPUAS HULU,BUNUT HILIR,KAMPUNG BARU,0.65044,112.5616,3,,8,,,,,,,,
BTS USO,16KTP014,PENDAMAR INDAH,1904B610400622,INDOSAT,PT. Pola Penawar Bangun Semesta,,KALIMANTAN BARAT,KETAPANG,SANDAI,PENDAMAR INDAH,-1.04767,110.59039,3,,8,,,,,,,,
BTS USO,UXX052,WAEKATIN,1917B810900284,TELKOMSEL,PT. Dayamitra Telekomunikasi,,MALUKU,BURU SELATAN,FENA FAFAN,WAEKATIN,-3.56542,126.5254,3,,8,,,,,,,,
BTS USO,19MLU026,PUNAN GONG SOLOK,1919B650200536,INDOSAT,PT. Berca Hardayaperkasa,,KALIMANTAN UTARA,MALINAU,MALINAU SELATAN HILIR,PUNAN GONG SOLOK,3.31568,116.5567,3,,8,,,,,,,,
BTS USO,19MLU012,LONG TOP,1919B650200526,INDOSAT,PT. Berca Hardayaperkasa,,KALIMANTAN UTARA,MALINAU,SUNGAI BOH,LONG TOP,1.2975,115.4331,3,,8,,,,,,,,
BTS USO,UYO082,AULANI,1919B911400206,TELKOMSEL,PT. Dayamitra Telekomunikasi,,PAPUA PEGUNUNGAN,TOLIKARA,BOKONDINI,AULANI,-3.664167,138.360167,3,,8,,,,,,,,
BTS USO,16PTS052,NANGA BALANG,1919B610600706,INDOSAT,PT. Bintang Komunikasi Utama,,KALIMANTAN BARAT,KAPUAS HULU,PUTUSSIBAU SELATAN,NANGA BALANG,0.77557,113.2631,3,,8,,,,,,,,
BTS USO,16PTS053,MATA LUNAI,1919B610600705,INDOSAT,PT. Bintang Komunikasi Utama,,KALIMANTAN BARAT,KAPUAS HULU,PUTUSSIBAU SELATAN,MATA LUNAI,0.851389,113.3458,3,,8,,,,,,,,
BTS USO,UXS024,LEHUPU,1901B710300779,TELKOMSEL,PT. Bintang Komunikasi Utama,,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN,LEHUPU,3.415944,125.6632,3,,8,,,,,,,,
BTS USO,19NNK011,TEMBALANG,1904B650300542,INDOSAT,PT. Berca Hardayaperkasa,,KALIMANTAN UTARA,NUNUKAN,TULIN ONSOI,TEMBALANG,4.14861,116.98926,3,,8,,,,,,,,
BTS USO,16KTP008,SELANGKUT RAYA,1904B610400623,INDOSAT,PT. Pola Penawar Bangun Semesta,,KALIMANTAN BARAT,KETAPANG,SUNGAI LAUR,SELANGKUT RAYA,-0.75848,110.5175,3,,8,,,,,,,,
BTS USO,UQT083,TANJUNG BATANG,1917B210300039,TELKOMSEL,PT. Aprillia Profesional Teknologi,,KEPULAUAN RIAU,NATUNA,PULAU TIGA,TANJUNG BATANG,3.59712,108.0707,3,,40,,,,,,,,
BTS USO,UXB063,GUNJEMAK,1901B610301055,TELKOMSEL,PT. Bintang Komunikasi Utama,,KALIMANTAN BARAT,SANGGAU,ENTIKONG,GUNJEMAK,1.13526,110.1665,3,,8,,,,,,,,
BTS USO,UXL008,BALIK,1903B650300944,TELKOMSEL,PT. Bintang Komunikasi Utama,,KALIMANTAN UTARA,NUNUKAN,KRAYAN,BALIK,3.79337,115.8473,3,,8,,,,,,,,
BTS USO,UYO072,TRIMURIS,1919B912000062,TELKOMSEL,PT. Aprillia Profesional Teknologi,,PAPUA,MAMBERAMO RAYA,DISTRIK SAWAI,TRIMURIS,-2.14067,137.8504,3,,8,,,,,,,,
BTS USO,UXL039,PAMTAS LONG NAWANG,1919B650200828,TELKOMSEL,PT. Bintang Komunikasi Utama,,KALIMANTAN UTARA,MALINAU,KAYAN HULU,PAMTAS LONG NAWANG,1.84812,114.7853,3,,8,,,,,,,,
BTS USO,UYO127,RANDAWAYA,1919B910500237,TELKOMSEL,PT. Dayamitra Telekomunikasi,,PAPUA,KEPULAUAN YAPEN,KOSIWO,RANDAWAYA,-1.85191,136.52569,3,,8,,,,,,,,
BTS USO,UQT090,MENGKAIT,1904B210500037,TELKOMSEL,PT. Aprillia Profesional Teknologi,,KEPULAUAN RIAU,KEPULAUAN ANAMBAS,SIANTAN SELATAN,MENGKAIT,2.92321,106.13572,3,,8,,,,,,,,
BTS USO,16SBS017,KALIAU,1919B610100701,INDOSAT,PT. Bintang Komunikasi Utama,,KALIMANTAN BARAT,SAMBAS,SAJINGAN BESAR,KALIAU,1.59101,109.611,3,,8,,,,,,,,
BTS USO,UYP109,ATORI,1919B920400063,TELKOMSEL,PT. Aprillia Profesional Teknologi,,PAPUA BARAT DAYA,SORONG SELATAN,KOKODA UTARA,ATORI,-1.98185,132.6168,3,,8,,,,,,,,
BTS USO,UYO138,OKSIP,1919B911200304,TELKOMSEL,PT. Dayamitra Telekomunikasi,,PAPUA PEGUNUNGAN,PEGUNUNGAN BINTANG,BATOM,OKSIP,-4.57099,140.947045,3,,8,,,,,,,,
BTS USO,UYO141,BARAPASI,1919B912000051,TELKOMSEL,PT. Aprillia Profesional Teknologi,,PAPUA,MAMBERAMO RAYA,DISTRIK BENUKI,BARAPASI,-2.24986,136.9992,3,,8,,,,,,,,
